Source,Target
shape,hole
shape,horns
shape,monsters
shape,mountain
shape,music
shape,eight
shape,pomegranate
shape,saturn
shape,serpent
shape,sign
shape,star
shape,steed
shape,steps
shape,sword
shape,thorn
shape,tower
shape,tree
shape,trumpet
shape,window
shepherd,valley
shield,animals
shield,blood
shield,column
shield,weapons
ship,fish
shoes,wings
sign,apollo
sign,ark
sign,arm
sign,bird
sign,bridge
sign,chain
sign,cloak
sign,crown
sign,deluge
sign,destruction
sign,dog
sign,dragon
sign,dwarf
sign,eagle
sign,egg
sign,eye
sign,fight
sign,fish
sign,hare
sign,harpies
sign,hero
sign,honey
sign,horns
sign,horse
sign,intestines
sign,justice
sign,knot
sign,lion
sign,man
sign,minstrel
sign,mouth
sign,eight
sign,ocean
sign,pillar
sign,sails
sign,serpent
sign,shoes
sign,skin
sign,steps
sign,superiority
sign,sword
sign,throne
sign,thunderbolt
sign,tower
sign,twilight
sign,vessel
sign,vulture
sign,wall
sign,water
sign,wheel
skin,blood
skin,clothes
skin,serpent
skull,cauldron
skull,hamlet
skull,head
smoke,locusts
smoke,lyre
snow,white
sound,bell
sound,cow
sound,elements
